date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:20:41	476/476	---MCZ	200	added ('OK')	text/plain	etag:cacheable:7a69ac53d17cb6a963efab24be5c11ae	https://tymobeauty.com/robots.txt		(from )
08:20:45	292207/292207	---MCZ	200	added ('OK')	text/html	etag:cacheable:efbc0188b17f0913598d13ba89c76979	https://tymobeauty.com/	C:/Users/radou/Desktop/tymobeauty.com/tymobeauty.com/index.html	(from )
08:20:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20May%202022%2007:20:46%20GMT	http://cdn.shopify.com/s/files/1/0094/4839/0711/t/32/assets/theme.min.css?v=105163043433140054281650860872	C:/Users/radou/Desktop/tymobeauty.com/cdn.shopify.com/s/files/1/0094/4839/0711/t/32/assets/theme.min.0bcaa.delayed	(from https://tymobeauty.com/)
08:20:46	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20May%202022%2007:20:47%20GMT	http://cdn.shopify.com/s/files/1/0094/4839/0711/t/32/assets/font-awesome.min.css?v=67234577834381952701650860854	C:/Users/radou/Desktop/tymobeauty.com/cdn.shopify.com/s/files/1/0094/4839/0711/t/32/assets/font-awesome.min2ba7.css	(from https://tymobeauty.com/)
08:20:49	272858/272858	---MCZ	200	added ('OK')	text/css	date:Mon,%2009%20May%202022%2007:14:52%20GMT	https://cdn.shopify.com/s/files/1/0094/4839/0711/t/32/assets/theme.min.css?v=105163043433140054281650860872	C:/Users/radou/Desktop/tymobeauty.com/cdn.shopify.com/s/files/1/0094/4839/0711/t/32/assets/theme.minbcaa.css	(from https://tymobeauty.com/)
08:20:50	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20May%202022%2007:20:50%20GMT	http://cdn.shopify.com/s/files/1/0094/4839/0711/t/32/assets/swiper.min.css?v=88091268259482038431650860870	C:/Users/radou/Desktop/tymobeauty.com/cdn.shopify.com/s/files/1/0094/4839/0711/t/32/assets/swiper.min18e6.css	(from https://tymobeauty.com/)
08:20:51	56018/56018	---MCZ	200	added ('OK')	text/css	date:Mon,%2009%20May%202022%2007:05:26%20GMT	https://cdn.shopify.com/s/files/1/0094/4839/0711/t/32/assets/font-awesome.min.css?v=67234577834381952701650860854	C:/Users/radou/Desktop/tymobeauty.com/cdn.shopify.com/s/files/1/0094/4839/0711/t/32/assets/font-awesome.min2ba7.css	(from https://tymobeauty.com/)
08:20:52	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20May%202022%2007:20:52%20GMT	http://cdn.shopify.com/s/files/1/0094/4839/0711/t/32/assets/custom.css?v=102493421877365237651650860851	C:/Users/radou/Desktop/tymobeauty.com/cdn.shopify.com/s/files/1/0094/4839/0711/t/32/assets/customa1c5.css	(from https://tymobeauty.com/)
08:20:52	13419/13419	---MCZ	200	added ('OK')	text/css	date:Mon,%2009%20May%202022%2007:14:52%20GMT	https://cdn.shopify.com/s/files/1/0094/4839/0711/t/32/assets/swiper.min.css?v=88091268259482038431650860870	C:/Users/radou/Desktop/tymobeauty.com/cdn.shopify.com/s/files/1/0094/4839/0711/t/32/assets/swiper.min18e6.css	(from https://tymobeauty.com/)
08:20:53	43/43	---M--	200	added ('OK')	text/css	date:Mon,%2009%20May%202022%2007:05:26%20GMT	https://cdn.shopify.com/s/files/1/0094/4839/0711/t/32/assets/custom.css?v=102493421877365237651650860851	C:/Users/radou/Desktop/tymobeauty.com/cdn.shopify.com/s/files/1/0094/4839/0711/t/32/assets/customa1c5.css	(from https://tymobeauty.com/)
